nom_dept;nom_com;insee_com;nom_station;code_station (ue);influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;x_wgs84;y_wgs84;x_reglementaire;y_reglementaire
Loire-Atlantique;Donges;44052;AMPERE;FR23001;industrial;SO2;1;0.0;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.0813729293078014;47.324243646620644;316466.7822100732;6703891.209852793
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;C6H5-C2H5;431;0.0;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;C6H5-CH3;21;0.35;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;C6H6;20;0.14;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;m,p-C6H4(CH3)2;464;0.2;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;NO2;8;0.4;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;NO;38;1.8;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;NOx;9;3.1;µg/m3 eq NO2;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;o-C6H4-(CH3)2;482;0.045;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;PM10;5;11.0;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;PM2.5;6001;6.0;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
Loire-Atlantique;Donges;44052;LA MEGRETAIS;FR23003;industrial;SO2;1;0.0;µg/m3;horaire;2024-04-16 22:00:00;2024-04-16 23:00:00;True;-2.039245335998521;47.322705228858595;319631.26531024784;6703516.8929397985
